word_concept,recognised,number_strokes,drawing_time,pause_time,country_code,hemisphere,day_sketched,date_sketched,time_sketched
face,true,7,5.1,3.0,NO,N,Tue,2017-03-28,13:17:21
face,true,4,4.7,3.3,BR,S,Sat,2017-03-18,00:46:55
face,true,5,5.4,3.0,GB,N,Sat,2017-03-04,20:46:52
face,true,5,3.0,1.6,QA,N,Fri,2017-03-24,18:57:07
face,true,8,5.8,3.5,RS,N,Tue,2017-01-31,12:47:21
face,true,5,7.4,2.7,US,N,Sat,2017-03-25,02:22:10
face,true,10,8.8,6.9,BR,S,Thu,2017-01-26,00:44:12
face,true,6,3.6,2.1,RO,N,Sat,2017-03-11,14:13:27
face,true,5,6.6,2.2,ID,S,Thu,2017-01-26,09:49:09
face,true,4,1.7,0.8,US,N,Mon,2017-03-13,01:40:13
face,true,8,3.8,2.8,DE,N,Sun,2017-01-29,11:10:29
face,true,4,1.6,0.9,US,N,Sat,2017-03-18,18:23:21
face,false,15,11.1,7.5,CH,N,Wed,2017-03-01,11:02:17
face,true,7,3.1,1.9,US,N,Fri,2017-03-10,13:59:45
face,true,6,3.5,2.1,MX,N,Sat,2017-03-04,13:04:16
face,true,5,2.0,2.6,CZ,N,Tue,2017-03-28,07:10:54
face,false,4,4.3,1.2,US,N,Mon,2017-03-06,19:58:13
face,true,5,2.3,1.3,US,N,Mon,2017-03-27,18:04:34
face,true,8,3.9,8.8,US,N,Mon,2017-01-30,22:35:34
face,true,9,7.8,7.0,US,N,Sun,2017-03-19,23:08:48